,ICSA
2007-07-21,12.644327576461329
2007-07-28,12.628067055589549
2007-08-04,12.65714826489039
2007-08-11,12.66349749256905
2007-08-18,12.679196402112153
2007-08-25,12.70381302974751
2007-09-01,12.65714826489039
2007-09-08,12.679196402112153
2007-09-15,12.65395846952229
2007-09-22,12.618182296357007
2007-09-29,12.666657052859417
2007-10-06,12.66349749256905
2007-10-13,12.721885810807203
2007-10-20,12.718896271958837
2007-10-27,12.70076888736628
2007-11-03,12.697715449879391
2007-11-10,12.71589776896258
2007-11-17,12.712890247898626
2007-11-24,12.771386454580234
2007-12-01,12.748396936355535
2007-12-08,12.712890247898626
2007-12-15,12.765688433465597
2007-12-22,12.779873068457553
2007-12-29,12.793859310432293
2008-01-05,12.75419405403986
2008-01-12,12.682306824526545
2008-01-19,12.679196402112153
2008-01-26,12.810388612383504
2008-02-02,12.765688433465597
2008-02-09,12.748396936355535
2008-02-16,12.733755386362587
2008-02-23,12.777052192115912
2008-03-01,12.751299696013497
2008-03-08,12.759957758756611
2008-03-15,12.818551923022664
2008-03-22,12.815838217151068
2008-03-29,12.866179972011919
2008-04-05,12.777052192115912
2008-04-12,12.80765263256463
2008-04-19,12.762827201184564
2008-04-26,12.821258284620408
2008-05-03,12.821258284620408
2008-05-10,12.810388612383504
2008-05-17,12.813117127036707
2008-05-24,12.818551923022664
2008-05-31,12.799399490807907
2008-06-07,12.853175887588712
2008-06-14,12.842649474601725
2008-06-21,12.850554654108839
2008-06-28,12.8790171187726
2008-07-05,12.823957341589573
2008-07-12,12.86099861326992
2008-07-19,12.904207367601158
2008-07-26,12.980799813082541
2008-08-02,13.012548511397123
2008-08-09,12.971540487669746
2008-08-16,12.957488734214095
2008-08-23,12.950388112664518
2008-08-30,12.999065161059836
2008-09-06,12.996800154428984
2008-09-13,13.01477816672439
2008-09-20,13.087771932634709
2008-09-27,13.087771932634709
2008-10-04,13.085699393032737
2008-10-11,13.041153321978786
2008-10-18,13.077366011473593
2008-10-25,13.081541382884074
2008-11-01,13.102160670086809
2008-11-08,13.146079904021645
2008-11-15,13.19188944005294
2008-11-22,13.184398768323781
2008-11-29,13.178743710840436
2008-12-06,13.253391639810733
2008-12-13,13.24634935718532
2008-12-20,13.282780098810234
2008-12-27,13.186276703147982
2009-01-03,13.128345449081877
2009-01-10,13.219490088135052
2009-01-17,13.289571296388235
2009-01-24,13.281075068559149
2009-01-31,13.351886535682578
2009-02-07,13.3645249345543
2009-02-14,13.356644673128994
2009-02-21,13.39239051461739
2009-02-28,13.38779984090879
2009-03-07,13.399995114002609
2009-03-14,13.386264921190707
2009-03-21,13.401509118833824
2009-03-28,13.407542319637992
2009-04-04,13.389332408258568
2009-04-11,13.303016877097587
2009-04-18,13.367659733359671
2009-04-25,13.337474757021274
2009-05-02,13.308012724290958
2009-05-09,13.345506928718539
2009-05-16,13.337474757021274
2009-05-23,13.314635265051452
2009-05-30,13.316284070041636
2009-06-06,13.297995946047488
2009-06-13,13.296316684527767
2009-06-20,13.317930160948304
2009-06-27,13.294634598344782
2009-07-04,13.258640995696876
2009-07-11,13.210374254727043
2009-07-18,13.235692062711331
2009-07-25,13.282780098810234
2009-08-01,13.226723392728571
2009-08-08,13.226723392728571
2009-08-15,13.239257128875828
2009-08-22,13.235692062711331
2009-08-29,13.242809530480196
2009-09-05,13.232114241363448
2009-09-12,13.203021280421783
2009-09-19,13.19188944005294
2009-09-26,13.224919965729422
2009-10-03,13.186276703147982
2009-10-10,13.144124869185841
2009-10-17,13.182517300224076
2009-10-24,13.180632285528304
2009-10-31,13.165422866864775
2009-11-07,13.146079904021645
2009-11-14,13.13626628257332
2009-11-21,13.085699393032737
2009-11-28,13.071070083016778
2009-12-05,13.116345305078767
2009-12-12,13.11835535600679
2009-12-19,13.079455876393052
2009-12-26,13.056223574899784
2010-01-02,13.030248088496522
2010-01-09,13.058358047428417
2010-01-16,13.13626628257332
2010-01-23,13.062613372998555
2010-01-30,13.114331205707064
2010-02-06,13.051940913107783
2010-02-13,13.10011776845701
2010-02-20,13.122363377404328
2010-02-27,13.098070684835283
2010-03-06,13.064734264567692
2010-03-13,13.077366011473593
2010-03-20,13.064734264567692
2010-03-27,13.036805489042683
2010-04-03,13.079455876393052
2010-04-10,13.079455876393052
2010-04-17,13.058358047428417
2010-04-24,13.01477816672439
2010-05-01,13.019222618484815
2010-05-08,13.019222618484815
2010-05-15,13.068962600677214
2010-05-22,13.045482333068371
2010-05-29,13.034624463096321
2010-06-05,13.036805489042683
2010-06-12,13.054084536651034
2010-06-19,13.021437458814368
2010-06-26,13.047639831208393
2010-07-03,13.025852477023484
2010-07-10,12.992254692057308
2010-07-17,13.043320170063875
2010-07-24,13.049792684569493
2010-07-31,13.073173133213556
2010-08-07,13.087771932634709
2010-08-14,13.093963902882631
2010-08-21,13.047639831208393
2010-08-28,13.054084536651034
2010-09-04,13.021437458814368
2010-09-11,13.003579841414362
2010-09-18,13.036805489042683
2010-09-25,13.036805489042683
2010-10-02,13.008074231002201
2010-10-09,13.036805489042683
2010-10-16,13.003579841414362
2010-10-23,12.976180867226248
2010-10-30,13.023647404465171
2010-11-06,12.980799813082541
2010-11-13,12.976180867226248
2010-11-20,12.916568464424731
2010-11-27,12.976180867226248
2010-12-04,12.966878474563934
2010-12-11,12.959844447906553
2010-12-18,12.957488734214095
2010-12-25,12.909170156943286
2011-01-01,12.931202871943169
2011-01-08,12.980799813082541
2011-01-15,12.950388112664518
2011-01-22,13.008074231002201
2011-01-29,12.948009990259552
2011-02-05,12.904207367601158
2011-02-12,12.959844447906553
2011-02-19,12.884106188280072
2011-02-26,12.86099861326992
2011-03-05,12.933621252807452
2011-03-12,12.909170156943286
2011-03-19,12.916568464424731
2011-03-26,12.896716695872
2011-04-02,12.886641043883259
2011-04-09,12.9384405392434
2011-04-16,12.904207367601158
2011-04-23,12.952760593018148
2011-04-30,13.056223574899784
2011-05-07,12.983101310070822
2011-05-14,12.933621252807452
2011-05-21,12.955127458028414
2011-05-28,12.943236711506893
2011-06-04,12.955127458028414
2011-06-11,12.931202871943169
2011-06-18,12.9384405392434
2011-06-25,12.950388112664518
2011-07-02,12.943236711506893
2011-07-09,12.9190224533863
2011-07-16,12.948009990259552
2011-07-23,12.926348493478372
2011-07-30,12.91410843858387
2011-08-06,12.911642346088676
2011-08-13,12.921470435024938
2011-08-20,12.936033799212835
2011-08-27,12.921470435024938
2011-09-03,12.933621252807452
2011-09-10,12.969212197910155
2011-09-17,12.952760593018148
2011-09-24,12.91410843858387
2011-10-01,12.911642346088676
2011-10-08,12.92391243868049
2011-10-15,12.886641043883259
2011-10-22,12.90669184092882
2011-10-29,12.896716695872
2011-11-05,12.8790171187726
2011-11-12,12.855790268162783
2011-11-19,12.86099861326992
2011-11-26,12.891691559669328
2011-12-03,12.866179972011919
2011-12-10,12.815838217151068
2011-12-17,12.815838217151068
2011-12-24,12.863592648446968
2011-12-31,12.837344422372032
2012-01-07,12.876462838967504
2012-01-14,12.813117127036707
2012-01-21,12.850554654108839
2012-01-28,12.826649133255284
2012-02-04,12.815838217151068
2012-02-11,12.796633237315017
2012-02-18,12.791077667470416
2012-02-25,12.80765263256463
2012-03-03,12.834681304952548
2012-03-10,12.818551923022664
2012-03-17,12.815838217151068
2012-03-24,12.802158113246987
2012-03-31,12.788288265382837
2012-04-07,12.866179972011919
2012-04-14,12.850554654108839
2012-04-21,12.866179972011919
2012-04-28,12.826649133255284
2012-05-05,12.829333698625952
2012-05-12,12.818551923022664
2012-05-19,12.823957341589573
2012-05-26,12.850554654108839
2012-06-02,12.840000466430148
2012-06-09,12.855790268162783
2012-06-16,12.858397831569864
2012-06-23,12.84792653170257
2012-06-30,12.826649133255284
2012-07-07,12.793859310432293
2012-07-14,12.873902018105829
2012-07-21,12.815838217151068
2012-07-28,12.826649133255284
2012-08-04,12.823957341589573
2012-08-11,12.818551923022664
2012-08-18,12.837344422372032
2012-08-25,12.840000466430148
2012-09-01,12.823957341589573
2012-09-08,12.881564890851399
2012-09-15,12.8790171187726
2012-09-22,12.840000466430148
2012-09-29,12.837344422372032
2012-10-06,12.765688433465597
2012-10-13,12.863592648446968
2012-10-20,12.832011076396668
2012-10-27,12.804909146618877
2012-11-03,12.80765263256463
2012-11-10,13.008074231002201
2012-11-17,12.91410843858387
2012-11-24,12.86876061860541
2012-12-01,12.834681304952548
